입력번호,발전소명,년월,호기,황산화물기준,황산화물평균,질수산화물기준,질수산화물평균,먼지기준,먼지평균,발전소코드
204,평택,201412,8511,180,237.1101609,100,131.6317962,30,406.6311082,PY
205,평택,201412,8512,180,134.5637105,100,163.1449802,30,639.6564063,PY
206,평택,201412,8513,180,108.8719842,100,111.9913141,30,1540.277839,PY
207,평택,201412,8514,180,192.6677135,100,149.8310013,30,602.6649479,PY
208,평택,201412,8515,180,0,100,11.91105335,30,0,PY
209,평택,201412,8516,180,0,100,12.79362022,30,0,PY
210,평택,201412,8517,180,0,100,29.20565963,30,0,PY
211,평택,201412,8518,180,0,100,25.26905479,30,0,PY
212,평택,201412,8519,180,0,100,6.057643979,30,0,PY
213,평택,201412,851A,180,0,100,5.256871728,30,0,PY
214,서인천,201401,8751,180,0,100,13.20005394,30,0,WI
215,서인천,201401,8752,180,0,100,12.54248146,30,0,WI
216,서인천,201401,8753,180,0,100,11.92660823,30,0,WI
217,서인천,201401,8754,180,0,100,20.5263385,30,0,WI
218,서인천,201401,8755,180,0,100,15.68934548,30,0,WI
219,서인천,201401,8756,180,0,100,15.09970985,30,0,WI
220,서인천,201401,8757,180,0,100,14.22105866,30,0,WI
221,서인천,201401,8758,180,0,100,12.58799056,30,0,WI
222,서인천,201402,8751,180,0,100,15.46862481,30,0,WI
223,서인천,201402,8752,180,0,100,17.47295964,30,0,WI
224,서인천,201402,8753,180,0,100,12.30097981,30,0,WI
225,서인천,201402,8754,180,0,100,18.75735426,30,0,WI
226,서인천,201402,8755,180,0,100,16.43615097,30,0,WI
227,서인천,201402,8756,180,0,100,15.68590739,30,0,WI
228,서인천,201402,8757,180,0,100,13.61297459,30,0,WI
229,서인천,201402,8758,180,0,100,13.49135277,30,0,WI
230,서인천,201403,8751,180,0,100,14.58991561,30,0,WI
231,서인천,201403,8752,180,0,100,11.64185882,30,0,WI
232,서인천,201403,8753,180,0,100,12.88504314,30,0,WI
233,서인천,201403,8754,180,0,100,14.14638629,30,0,WI
234,서인천,201403,8755,180,0,100,16.79657337,30,0,WI
235,서인천,201403,8756,180,0,100,15.52251566,30,0,WI
236,서인천,201403,8757,180,0,100,13.35368975,30,0,WI
237,서인천,201403,8758,180,0,100,12.90647788,30,0,WI
238,서인천,201404,8751,180,0,100,9.895984138,30,0,WI
239,서인천,201404,8752,180,0,100,11.02686316,30,0,WI
240,서인천,201404,8753,180,0,100,11.16490871,30,0,WI
241,서인천,201404,8754,180,0,100,12.71795231,30,0,WI
242,서인천,201404,8755,180,0,100,14.08804622,30,0,WI
243,서인천,201404,8756,180,0,100,14.85023223,30,0,WI
244,서인천,201404,8757,180,0,100,11.25554698,30,0,WI
245,서인천,201404,8758,180,0,100,11.02602941,30,0,WI
246,서인천,201405,8751,180,0,100,10.45413468,30,0,WI
